,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
632,Bangladesh Vs Pakistan,Bangladesh,6,Mosaddek Hossain,5,11,0,0,45.45,out,
633,Bangladesh Vs Pakistan,Bangladesh,7,Nurul Hasan,0,3,0,0,0.00,out,
634,Bangladesh Vs Pakistan,Bangladesh,8,Taskin Ahmed,1,5,0,0,20.00,out,
635,Bangladesh Vs Pakistan,Bangladesh,9,Nasum Ahmed,7,6,1,0,116.66,out,
636,Bangladesh Vs Pakistan,Bangladesh,10,Mustafizur Rahman,0,1,0,0,0.00,not_out,
637,Bangladesh Vs Pakistan,Pakistan,1,Mohammad Rizwan,32,32,2,1,100.00,out,
638,Bangladesh Vs Pakistan,Pakistan,2,Babar Azam(c),25,33,2,0,75.75,out,
639,Bangladesh Vs Pakistan,Pakistan,3,Mohammad Nawaz,4,11,0,0,36.36,out,
640,Bangladesh Vs Pakistan,Pakistan,4,Mohammad Haris,31,18,1,2,172.22,out,
641,Bangladesh Vs Pakistan,Pakistan,5,Shan Masood,24,14,2,0,171.42,not_out,
642,Bangladesh Vs Pakistan,Pakistan,6,Iftikhar Ahmed,1,3,0,0,33.33,out,
643,Bangladesh Vs Pakistan,Pakistan,7,Shadab Khan,0,0,0,0,-,not_out,
644,India Vs Zimbabwe,India,1,KL Rahul,51,35,3,3,145.71,out,
645,India Vs Zimbabwe,India,2,Rohit Sharma(c),15,13,2,0,115.38,out,
646,India Vs Zimbabwe,India,3,Virat Kohli,26,25,2,0,104.00,out,
647,India Vs Zimbabwe,India,4,Suryakumar Yadav,61,25,6,4,244.00,not_out,
648,India Vs Zimbabwe,India,5,Rishabh Pant,3,5,0,0,60.00,out,
649,India Vs Zimbabwe,India,6,Hardik Pandya,18,18,2,0,100.00,out,
650,India Vs Zimbabwe,India,7,Axar Patel,0,0,0,0,-,not_out,
651,India Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,0,1,0,0,0.00,out,
652,India Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),13,15,2,0,86.66,out,
653,India Vs Zimbabwe,Zimbabwe,3,Regis Chakabva,0,6,0,0,0.00,out,
654,India Vs Zimbabwe,Zimbabwe,4,Sean Williams,11,18,0,1,61.11,out,
655,India Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,34,24,3,0,141.66,out,
656,India Vs Zimbabwe,Zimbabwe,6,Tony Munyonga,5,4,1,0,125.00,out,
657,India Vs Zimbabwe,Zimbabwe,7,Ryan Burl,35,22,5,1,159.09,out,
658,India Vs Zimbabwe,Zimbabwe,8,Wellington Masakadza,1,7,0,0,14.28,out,
659,India Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,1,2,0,0,50.00,out,
660,India Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,4,4,1,0,100.00,out,
661,India Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,0,2,0,0,0.00,not_out,
662,New Zealand Vs Pakistan,New Zealand,1,Finn Allen,4,3,1,0,133.33,out,
663,New Zealand Vs Pakistan,New Zealand,2,Devon Conway,21,20,3,0,105.00,out,
664,New Zealand Vs Pakistan,New Zealand,3,Kane Williamson(c),46,42,1,1,109.52,out,
665,New Zealand Vs Pakistan,New Zealand,4,Glenn Phillips,6,8,1,0,75.00,out,
666,New Zealand Vs Pakistan,New Zealand,5,Daryl Mitchell,53,35,3,1,151.42,not_out,
667,New Zealand Vs Pakistan,New Zealand,6,James Neesham,16,12,1,0,133.33,not_out,
668,New Zealand Vs Pakistan,Pakistan,1,Mohammad Rizwan,57,43,5,0,132.55,out,
669,New Zealand Vs Pakistan,Pakistan,2,Babar Azam(c),53,42,7,0,126.19,out,
670,New Zealand Vs Pakistan,Pakistan,3,Mohammad Haris,30,26,2,1,115.38,out,
671,New Zealand Vs Pakistan,Pakistan,4,Shan Masood,3,4,0,0,75.00,not_out,
672,New Zealand Vs Pakistan,Pakistan,5,Iftikhar Ahmed,0,0,0,0,-,not_out,
673,India Vs England,India,1,KL Rahul,5,5,1,0,100.00,out,
674,India Vs England,India,2,Rohit Sharma(c),27,28,4,0,96.42,out,
675,India Vs England,India,3,Virat Kohli,50,40,4,1,125.00,out,
676,India Vs England,India,4,Suryakumar Yadav,14,10,1,1,140.00,out,
677,India Vs England,India,5,Hardik Pandya,63,33,4,5,190.90,out,
678,India Vs England,India,6,Rishabh Pant,6,4,1,0,150.00,out,
679,India Vs England,India,7,Ravichandran Ashwin,0,0,0,0,-,not_out,
680,India Vs England,England,1,Jos Buttler(c),80,49,9,3,163.26,not_out,
681,India Vs England,England,2,Alex Hales,86,47,4,7,182.97,not_out,
682,Pakistan Vs England,Pakistan,1,Mohammad Rizwan,15,14,0,1,107.14,out,
683,Pakistan Vs England,Pakistan,2,Babar Azam(c),32,28,2,0,114.28,out,
684,Pakistan Vs England,Pakistan,3,Mohammad Haris,8,12,1,0,66.66,out,
685,Pakistan Vs England,Pakistan,4,Shan Masood,38,28,2,1,135.71,out,
686,Pakistan Vs England,Pakistan,5,Iftikhar Ahmed,0,6,0,0,0.00,out,
687,Pakistan Vs England,Pakistan,6,Shadab Khan,20,14,2,0,142.85,out,
688,Pakistan Vs England,Pakistan,7,Mohammad Nawaz,5,7,0,0,71.42,out,
689,Pakistan Vs England,Pakistan,8,Mohammad Wasim,4,8,0,0,50.00,out,
690,Pakistan Vs England,Pakistan,9,Shaheen Shah Afridi,5,3,1,0,166.66,not_out,
691,Pakistan Vs England,Pakistan,10,Haris Rauf,1,1,0,0,100.00,not_out,
692,Pakistan Vs England,England,1,Jos Buttler(c),26,17,3,1,152.94,out,
693,Pakistan Vs England,England,2,Alex Hales,1,2,0,0,50.00,out,
694,Pakistan Vs England,England,3,Phil Salt,10,9,2,0,111.11,out,
695,Pakistan Vs England,England,4,Ben Stokes,52,49,5,1,106.12,not_out,
696,Pakistan Vs England,England,5,Harry Brook,20,23,1,0,86.95,out,
697,Pakistan Vs England,England,6,Moeen Ali,19,13,3,0,146.15,out,
698,Pakistan Vs England,England,7,Liam Livingstone,1,1,0,0,100.00,not_out,
